type	latitude	longitude	name
W	-3.068120720	-59.931226910	PP01 [1:Point]
W	-3.068454490	-59.931178680	PP01 [2:Point]
W	-3.068696530	-59.931125640	PP01 [3:Point]
W	-3.068851690	-59.931091270	PP01 [4:Point]
W	-3.069131330	-59.931090200	PP01 [5:Point]
W	-3.069438030	-59.931089040	PP01 [6:Point]
W	-3.069726690	-59.931087950	PP01 [7:Point]
W	-3.070024360	-59.931086820	PP01 [8:Point]
W	-3.068047740	-59.931013340	PP01 [9:Point]
W	-3.068057450	-59.930766280	PP01 [10:Point]
W	-3.068067780	-59.930494650	PP01 [11:Point]
W	-3.068074220	-59.930266660	PP01 [12:Point]
W	-3.068075829	-59.930026319	PP01 [13:Point]
W	-3.068075829	-59.929831329	PP01 [14:Point]
W	-3.068075829	-59.929606865	PP01 [15:Point]
W	-3.068040830	-59.929167310	PP01 [16:Point]
W	-3.068250749	-59.929043711	PP01 [17:Point]
W	-3.068162929	-59.928775130	PP01 [18:Point]
W	-3.068056129	-59.928527951	PP01 [19:Point]
W	-3.067970689	-59.928237980	PP01 [20:Point]
W	-3.067894741	-59.928024072	PP01 [21:Point]
W	-3.067849640	-59.927810150	PP01 [22:Point]
W	-3.067795050	-59.927560600	PP01 [23:Point]
W	-3.067754710	-59.927308650	PP01 [24:Point]
W	-3.067728600	-59.927040080	PP01 [25:Point]
W	-3.067695370	-59.926745350	PP01 [26:Point]
W	-3.067638410	-59.926491030	PP01 [27:Point]
W	-3.067590950	-59.926220080	PP01 [28:Point]
W	-3.067566260	-59.926056770	PP01 [29:Point]
W	-3.067514040	-59.925878510	PP01 [30:Point]
W	-3.067473700	-59.925688360	PP01 [31:Point]
W	-3.067355030	-59.925391270	PP01 [32:Point]
W	-3.067223710	-59.925241010	PP01 [33:Point]
W	-3.066913460	-59.925088720	PP01 [34:Point]
W	-3.068016878	-59.931293961	PP01 [35:Point]
W	-3.067840850	-59.931331240	PP01 [36:Point]
W	-3.067656030	-59.931453210	PP01 [37:Point]
W	-3.067582040	-59.931283910	PP01 [38:Point]
W	-3.067596430	-59.931010020	PP01 [39:Point]
W	-3.067629220	-59.930738390	PP01 [40:Point]
W	-3.067633570	-59.930482260	PP01 [41:Point]
W	-3.067631870	-59.930249900	PP01 [42:Point]
W	-3.067620751	-59.930030853	PP01 [43:Point]
W	-3.067620751	-59.929706627	PP01 [44:Point]
W	-3.067608871	-59.929414500	PP01 [45:Point]
W	-3.067462902	-59.929549378	PP01 [46:Point]
W	-3.067185220	-59.929132250	PP01 [47:Point]
W	-3.067004840	-59.928925460	PP01 [48:Point]
W	-3.066795980	-59.928761470	PP01 [49:Point]
W	-3.066487430	-59.928609350	PP01 [50:Point]
W	-3.066214499	-59.928533891	PP01 [51:Point]
W	-3.066054369	-59.928484010	PP01 [52:Point]
W	-3.065745750	-59.928390090	PP01 [53:Point]
W	-3.065593741	-59.928332821	PP01 [54:Point]
W	-3.065204730	-59.928184000	PP01 [55:Point]
W	-3.065003872	-59.928122969	PP01 [56:Point]
W	-3.064715698	-59.928040709	PP01 [57:Point]
W	-3.064537039	-59.927994980	PP01 [58:Point]
W	-3.064257160	-59.927933060	PP01 [59:Point]
W	-3.064022490	-59.927897970	PP01 [60:Point]
W	-3.063778770	-59.927853910	PP01 [61:Point]
W	-3.063534971	-59.927791861	PP01 [62:Point]
W	-3.063273110	-59.927720878	PP01 [63:Point]
